"Plot","releve_nr","Fys_geo_regio","Jaar","Dagnummer","Pq_grootte","pH-H20","ORG_STOF","C/N","N_totaal","P_totaal","K_CaCl2","Amerikaanse eik","Asperge_Liggende asperge","Bevertjes","Bochtige smele","Bosaardbei","Bosanemoon","Brede stekelvaren","Brede wespenorchis_Duinwespenorchis","Dalkruid","Duizendblad","Eenarig wollegras","Engels raaigras","Es","Gestreepte witbol","Gevlekte orchis_Bosorchis","Gewone dophei","Gewone vogelkers","Gewoon kweldergras","Gewoon reukgras","Grote brandnetel","Hazelaar","Hulst","Jakobskruiskruid_Duinkruiskruid","Kleine ratelaar","Kleine veenbes","Kleine zonnedauw","Knolboterbloem","Kraaihei","Kruipwilg","Moeraswespenorchis","Muurpeper","Parnassia","Peen","Pitrus","Ratelpopulier","Ruwe berk","Ruwe smele","Slanke sleutelbloem","Smalle stekelvaren","Spaanse aak","Struikhei","Tengere rus","Tweerijige zegge","Veenpluis","Watermunt","Wilde gagel","Witte klaverzuring","Zachte berk","Zandstruisgras","Zoete kers","Zomereik","X","Y","naam","lmf_indeling","bodemgebruik","OMSCHRIJVI"
"dr0025",NA,"hzn",2015,230,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.09,81.285,"Drenthe","hzn","Bos","Zand"
"dr0026",NA,"hzn",2015,230,78,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.53,79.545,"Drenthe","hzn","Bos","Zand"
"dr0027",NA,"hzn",2017,261,78,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.54,78.625,"Drenthe","hzn","Bos","Zand"
"dr0028",NA,"hzn",2017,261,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,60.69,74.38,"Drenthe","hzn","Bos","Zand"
"dr0029",NA,"hzn",2017,220,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,58.33,70.745,"Drenthe","hzn","Droog natuurlijk terrein","Zand"
"dr0030",NA,"hzn",2003,251,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.805,68.28,"Drenthe","hzn","Bos","Zand"
"dr0031",NA,"hzn",2015,224,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,69.845,74.61,"Drenthe","hzn","Bos","Zand"
"dr0032",NA,"hzn",2015,217,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,71.695,76.47,"Drenthe","hzn","Bos","Zand"
"dr0033",NA,"hzn",2015,274,78,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,74.745,77.12,"Drenthe","hzn","Landbouw en overig agrarisch","Zand"
"dr0034",NA,"hzn",2017,219,78,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78.3,84.155,"Drenthe","hzn","Bos","Zand"
